year, weighted_mean, min, max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
1950, 67.2,64.3,69.7
1951, 67.6,64.5,70.4
1952, 67,63.7,70.3
1953, 66.9,64.1,69.9
1954, 66.7,63.8,71.1
1955, 66.6,63,68.8
1956, 66.8,62.9,71
1957, 66.8,63.6,69.7
1958, 66.8,62.5,69.4
1959, 66.6,64.7,69.3
1960, 66.7,62.7,70
1961, 66.8,64.3,70.2
1962, 67.1,65,71.7
1963, 66.6,63,69.1
1964, 66.2,62,69.7
1965, 66.1,62.8,69.8
1966, 66.7,63.5,69.6
1967, 67,63.8,70
1968, 66.4,63.6,68.4
1969, 66.3,61.7,70.2
1970, 66.3,63.3,69.4
1971, 66.6,63.9,69.5
1972, 66.8,64.1,69.1
1973, 66.5,63.2,70.9
1974, 66.5,64.2,69
1975, 66.6,63.4,70.3
1976, 66,63,68.6
1977, 66.4,64.3,69.5
1978, 67,63.7,70.6
1979, 67.4,64.3,70
1980, 67.1,62.9,70.5
1981, 67.4,63.6,71
1982, 66.6,63.1,70.6
1983, 66.2,63,69.6
1984, 67,64.6,70.6
1985, 67,63.7,69.3
1986, 67.6,64.4,69.6
1987, 67.3,64.1,70.6
1988, 67.1,65,71.3
1989, 67.7,64.6,70.5
1990, 67.2,63.7,71.1
1991, 67.6,64.6,71.3
1992, 66.3,62,70.4
1993, 66.6,63.6,69.6
1994, 68.1,64.2,70.9
1995, 67.8,65.2,71.1
1996, 67.6,65.3,70.8
1997, 67.7,63.5,72.5
1998, 67.9,65.2,71.5
1999, 67.8,65.2,70.1
2000, 68.7,66.3,71.1
2001, 67.7,64.6,70.3
2002, 68.2,64.4,73.2
2003, 68.4,65.6,71.4
2004, 67.9,64.7,70.3
2005, 68.7,65.5,71.5
