year, weighted_mean, min, max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
1950, 47.38,32.97,61.27
1951, 48.98,34.39,62.94
1952, 48.4,35.38,68.33
1953, 46.43,34.43,63.6
1954, 48.52,31.45,60.95
1955, 48.09,34.11,66.72
1956, 49.27,32.47,68.95
1957, 46.08,29.05,62.38
1958, 48.79,33.68,60.21
1959, 50.71,33.13,66
1960, 50.57,35.86,70.14
1961, 47.41,34.86,67.19
1962, 48.73,31.35,65.45
1963, 46.6,33.09,71.48
1964, 50.17,39.19,61.88
1965, 49.47,26.56,70.79
1966, 47.64,34.17,60.35
1967, 49.22,29.69,65.21
1968, 49.58,35.41,78.16
1969, 48.53,33.89,69.13
1970, 44.72,30.3,69.67
1971, 46.09,33.21,66.09
1972, 49.02,36.84,69.39
1973, 48.58,37.35,75.34
1974, 48.05,36.4,65.25
1975, 50.27,33.08,62.66
1976, 50.81,33.33,72.61
1977, 46.35,33.43,66
1978, 47.28,31.46,63.53
1979, 44.77,31.02,65.13
1980, 47.39,32.14,66.49
1981, 49.56,33.32,66.76
1982, 48.76,32.59,61.62
1983, 49.55,22.62,63.1
1984, 47.67,28.61,61.42
1985, 48.16,35.58,60.64
1986, 45.13,31.22,62.85
1987, 48.91,29.42,68.55
1988, 48.42,37.62,68.48
1989, 48.47,32.4,64.21
1990, 50.82,37.28,84.59
1991, 48.38,36.75,61.97
1992, 46.93,30.26,63.93
1993, 48.29,26.33,70.91
1994, 46.31,28.09,65.16
1995, 47.64,33.71,69.9
1996, 50.01,37.55,72.35
1997, 48.04,28.63,63
1998, 47.35,28.76,70.95
1999, 49.9,29.8,68.49
2000, 46.58,32.47,62.86
2001, 55.08,39.02,83.45
2002, 48.86,30.81,64.44
2003, 47.63,28.64,76.94
2004, 47.2,33.91,66.01
2005, 48.9,35.22,66.75
