year, weighted_mean, min, max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
1950, 64.8,20.4,98.6
1951, 63.4,31.3,92.2
1952, 63,33.5,107.6
1953, 66.8,38.1,99.9
1954, 61.3,19.5,94.1
1955, 61.1,14.1,89
1956, 64.1,29.2,97.4
1957, 66.6,25.3,91.8
1958, 59.6,34.1,92.9
1959, 54.5,31.3,82.7
1960, 56.9,31.7,90.9
1961, 61.7,31.8,99.4
1962, 63.8,38.1,87.5
1963, 62.4,5.3,94.7
1964, 62,20.9,89
1965, 58.6,27,87.2
1966, 60.9,26.8,100.7
1967, 62.8,14.5,99.4
1968, 59.9,28.9,85.6
1969, 56.8,24.6,86.7
1970, 62.7,28.1,94.7
1971, 64.1,27.7,92.4
1972, 59.9,8.1,90.6
1973, 60,22.2,97.9
1974, 60,33.2,94.9
1975, 57.4,27.1,90.4
1976, 62.5,11,112.3
1977, 61.7,32.4,93.5
1978, 64.9,28.5,95
1979, 65.5,37,93.6
1980, 60.6,22.4,96.9
1981, 61,23.8,97.2
1982, 59.5,19.5,105.7
1983, 57.3,18.7,83.7
1984, 63.3,19.6,90.5
1985, 62.3,29.6,91.8
1986, 65.9,17.9,92.5
1987, 68.6,36.7,99.2
1988, 63.1,36.5,98.8
1989, 65.2,24.7,92.6
1990, 66.2,39.5,109.8
1991, 68.2,33.7,93.8
1992, 58.1,32.6,96.1
1993, 60,21.5,95.8
1994, 68.3,27.8,103
1995, 69.8,32.1,106.6
1996, 69.4,39.5,92.6
1997, 65.5,23.2,108.3
1998, 71.1,37.6,109.9
1999, 68.4,40.6,106.1
2000, 75.7,41.2,111.6
2001, 68.7,29.9,96.7
2002, 64.9,35.6,97.5
2003, 74.3,43.5,112
2004, 75.9,44,106.3
2005, 77.1,45.8,103
