year, weighted_mean, min, max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
1950, 82.5,58.4,101.8
1951, 79.9,56.7,100.6
1952, 78.5,51,104
1953, 79.7,49.7,101.3
1954, 80.5,59.9,99.4
1955, 81.8,63.2,103.1
1956, 82.6,61.5,104.9
1957, 83,55.7,99.9
1958, 80,49.5,102.5
1959, 80.9,65.7,105.7
1960, 82.1,60.3,103.8
1961, 83,60.1,119
1962, 82.3,63.2,101.8
1963, 80.3,59,99.1
1964, 84.7,58.4,114.3
1965, 83,63.3,111.6
1966, 82.6,62.1,115.4
1967, 80.4,60.9,104.1
1968, 84.8,65.7,104.6
1969, 81.7,47.9,108.7
1970, 84.3,61.6,103.8
1971, 82.1,63.4,99.3
1972, 80.5,63.2,105.8
1973, 81.1,47,103.3
1974, 82.5,64.4,99.2
1975, 78.2,51.2,97.6
1976, 81.9,59.7,100.3
1977, 81.6,54.2,105
1978, 79.2,55.6,96.4
1979, 78.6,57.3,98.9
1980, 78.1,62.5,99.1
1981, 76.2,51.9,100.9
1982, 79.3,54.3,105.3
1983, 79.9,61.1,100.8
1984, 81.4,61.1,103.7
1985, 81.3,53.6,102
1986, 76.6,57.7,97.8
1987, 81.1,61.5,105.6
1988, 79.2,58.3,104.1
1989, 77.6,50.3,93.1
1990, 79.2,62.7,99.9
1991, 76.2,58.4,98.3
1992, 84.4,64.1,105
1993, 82.1,64.1,102.4
1994, 78.6,49.9,99.4
1995, 79.7,54.2,103.1
1996, 76.8,50.3,102.9
1997, 74,44.2,89.8
1998, 73.7,46.6,96.3
1999, 74.7,52.7,94.6
2000, 74.5,48.6,95.3
2001, 75.9,55.7,97.8
2002, 74,46.5,103.7
2003, 72.7,52,90.1
2004, 76.2,55.5,96.2
2005, 71.2,42.3,91.7
